Protein_A	Protein_B	Uniprot_A	Uniprot_B
ADA2	CDC48	Q02336	P25694
AIM23	MRP51	P47015	Q02950
AIR2	MRP51	Q12476	Q02950
AME1	NDC80	P38313	P40460
AME1	NUF2	P38313	P33895
ARB1	DED1	P40024	P06634
ARP2	CDC48	P32381	P25694
ARP5	CDC48	P53946	P25694
ARP9	SNF5	Q05123	P18480
ASC1	STM1	P38011	P39015
ASH1	NMD2	P34233	P38798
ASM4	NUP1	Q05166	P20676
ASP1	CDC48	P38986	P25694
ASR1	CDC48	Q06834	P25694
ATG12	CDC48	P38316	P25694
BEM2	CDC48	P39960	P25694
BEM2	MRP51	P39960	Q02950
BFA1	CDC48	P47113	P25694
BFR2	RRP6	Q06631	Q12149
BIM1	KAR9	P40013	P32526
BMS1	RRP6	Q08965	Q12149
BNI1	CDC48	P41832	P25694
BRE5	CDC48	P53741	P25694
BRE5	STM1	P53741	P39015
BRR2	PRP4	P32639	P20053
BUB2	CDC48	P26448	P25694
BUD32	CDC48	P53323	P25694
CBF1	MRP51	P17106	Q02950
CBF5	CDC48	P33322	P25694
CCS1	SOD1	P40202	P00445
CCT7	RRP6	P42943	Q12149
CDC15	CDC48	P27636	P25694
CDC19	SOD1	P00549	P00445
CDC42	CDC48	P19073	P25694
AAH1	CDC48	P53909	P25694
ASI1	CDC48	P54074	P25694
BUD4	CDC48	P47136	P25694
CDC48	CDC48	P25694	P25694
CDC48	CDC53	P25694	Q12018
CDC48	COG6	P25694	P53959
CDC48	CUZ1	P25694	P53899
CDC48	DAD2	P25694	P36162
CDC48	DER1	P25694	P38307
CDC48	DFM1	P25694	Q12743
CDC48	DOA1	P25694	P36037
CDC48	ERB1	P25694	Q04660
CDC48	FPR1	P25694	P20081
CDC48	FPR3	P25694	P38911
CDC48	FZO1	P25694	P38297
CDC48	GAA1	P25694	P39012
CDC48	GCD7	P25694	P32502
CDC48	GDH1	P25694	P07262
CDC48	GLC7	P25694	P32598
CDC48	GRR1	P25694	P24814
CDC48	HHT1	P25694	P61830
CDC48	HIF1	P25694	Q12373
CDC48	HMG2	P25694	P12684
CDC48	HRD1	P25694	Q08109
CDC48	HRD3	P25694	Q05787
CDC48	HRR25	P25694	P29295
CDC48	HSP104	P25694	P31539
CDC48	HSP82	P25694	P02829
CDC48	HXK1	P25694	P04806
CDC48	ICE2	P25694	P40499
CDC48	ICL1	P25694	P28240
CDC48	ISW2	P25694	Q08773
CDC48	LGE1	P25694	Q02796
CDC48	MDM10	P25694	P18409
CDC48	MED4	P25694	Q12343
CDC48	MKT1	P25694	P40850
CDC48	MRPS28	P25694	P21771
CDC48	NA	P25694	NA
CDC48	NPL4	P25694	P33755
CDC48	NPR3	P25694	P38742
CDC48	NUP57	P25694	P48837
CDC48	NUT2	P25694	Q06213
CDC48	OTU1	P25694	P43558
CDC48	PEX13	P25694	P80667
CDC48	PRE6	P25694	P40303
CDC48	PUP1	P25694	P25043
CDC48	RAD23	P25694	P32628
CDC48	RAD52	P25694	P06778
CDC48	RAI1	P25694	P53063
CDC48	REG1	P25694	Q00816
CDC48	RKR1	P25694	Q04781
CDC48	RPL17B	P25694	P46990
CDC48	RPL25	P25694	P04456
CDC48	RPL8B	P25694	P29453
CDC48	RPS17B	P25694	P14127
CDC48	RPS31;UBI4	P25694	NA
CDC48	RPT6	P25694	Q01939
CDC48	RQC1	P25694	Q05468
CDC48	RQC2	P25694	Q12532
CDC48	RTG3	P25694	P38165
CDC48	RVS167	P25694	P39743
CDC48	SAF1	P25694	P38352
CDC48	SAN1	P25694	P22470
CDC48	SEC27	P25694	P41811
CDC48	SHP1	P25694	P34223
CDC48	SKP1	P25694	P52286
CDC48	SMT3	P25694	Q12306
CDC48	SNF1	P25694	P06782
CDC48	SNF4	P25694	P12904
CDC48	SRB5	P25694	P32585
CDC48	SSA1	P25694	P10591
CDC48	SSA2	P25694	P10592
CDC48	SSB1	P25694	P11484
CDC48	SSC1	P25694	P12294
CDC48	SSM4	P25694	P40318
CDC48	STE6	P25694	P12866
CDC48	TAF5	P25694	P38129
CDC48	TDP1	P25694	P38319
CDC48	TEF1	P25694	P02994
CDC48	UBC6	P25694	P33296
CDC48	UBI4	P25694	P0CG63
CDC48	UBP3	P25694	Q01477
CDC48	UBX2	P25694	Q04228
CDC48	UBX3	P25694	Q12229
CDC48	UBX4	P25694	P54730
CDC48	UBX5	P25694	Q06682
CDC48	UBX6	P25694	P47049
CDC48	UBX7	P25694	P38349
CDC48	UFD1	P25694	P53044
CDC48	UFD2	P25694	P54860
CDC48	UFO1	P25694	Q04511
CDC48	URA2	P25694	P07259
CDC48	USA1	P25694	Q03714
CDC48	UTP9	P25694	P38882
CDC48	VMA2	P25694	P16140
CDC48	VMS1	P25694	Q04311
CDC48	YDJ1	P25694	P25491
CDC48	YGL108C	P25694	P53139
CDC48	YGL140C	P25694	P53120
CDC48	YKL100C	P25694	P34248
CDC48	YOS9	P25694	Q99220
CDC48	YPF1	P25694	NA
CDC48	YTA7	P25694	P40340
CDC48	CDC5	P25694	P32562
CDC48	CDC7	P25694	P06243
CEG1	SET2	Q01159	P46995
CDC48	CIA1	P25694	Q05583
CIR2	NMD2	Q08822	P38798
CDC48	COP1	P25694	P53622
CRM1	NMD4	P30822	Q12129
CSL4	RRP6	P53859	Q12149
CDC48	CTK1	P25694	Q03957
CDC48	CUS1	P25694	Q02554
CDC48	DBF20	P25694	P32328
DBP2	RBG1	P24783	P39729
DBP2	TMA46	P24783	Q12000
CDC48	DBP8	P25694	P38719
DED1	MRP51	P06634	Q02950
DED1	NEW1	P06634	Q08972
DED1	NIP1	P06634	P32497
DED1	RPG1	P06634	P38249
DED1	SVL3	P06634	Q03088
DED1	TIF35	P06634	Q04067
DED1	TIF4631	P06634	P39935
DED1	YGR054W	P06634	P53235
DEF1	PEP1	P35732	P32319
DEF1	RAD26	P35732	P40352
DEF1	RNQ1	P35732	P25367
DFR1	MRP51	P07807	Q02950
CDC48	DHR2	P25694	P36009
DIM1	RRP6	P41819	Q12149
DIP2	RRP6	Q12220	Q12149
DIS3	RRP6	Q08162	Q12149
DMA1	NMD2	P38823	P38798
DPM1	SEY1	P14020	Q99287
DPS1	TOM70	P04802	P07213
CDC48	DUR1,2	P25694	P32528
CDC48	EAP1	P25694	P36041
ECM16	RRP6	Q04217	Q12149
ECT1	RPO41	P33412	P13433
EGD1	TMA46	Q02642	Q12000
EGD2	TMA46	P38879	Q12000
EHD3	MRP51	P28817	Q02950
ELF1	SET2	P36053	P46995
ELO3	SEY1	P40319	Q99287
EMC6	TOM70	Q12431	P07213
EMG1	RRP6	Q06287	Q12149
EMP47	TOM70	P43555	P07213
ENO1	SOD1	P00924	P00445
ENO2	SOD1	P00925	P00445
ENP1	RRP6	P38333	Q12149
CDC48	ERG10	P25694	P41338
CDC48	ERG25	P25694	P53045
ERJ5	RRP6	P43613	Q12149
CDC48	ESS1	P25694	P22696
FAF1	RRP6	P40546	Q12149
CDC48	FBP1	P25694	P09201
FCF1	RRP6	Q05498	Q12149
FCF2	RRP6	Q12035	Q12149
CDC48	FMP48	P25694	P53233
FUN12	RBG1	P39730	P39729
FUN12	STM1	P39730	P39015
FUS3	KSS1	P16892	P14681
FYV4	MRP51	P38783	Q02950
CDC48	GCN2	P25694	P15442
CDC48	GCN5	P25694	Q03330
GIR2	RBG1	Q03768	P39729
GLE1	NUP1	Q12315	P20676
GLE2	NUP1	P40066	P20676
GPD1	NMD2	Q00055	P38798
CDC48	GPI16	P25694	P38875
CDC48	HDA2	P25694	Q06629
CDC48	HRT1	P25694	Q08273
HRT1	MRP51	Q08273	Q02950
CDC48	HRT3	P25694	Q12347
CDC48	HSP78	P25694	P33416
CDC48	HTA2	P25694	P04912
HXK1	SOD1	P04806	P00445
HXK2	SOD1	P04807	P00445
CDC48	HXT4	P25694	P32467
CDC48	HXT7	P25694	P39004
ILV2	MRP51	P07342	Q02950
CDC48	INP52	P25694	P50942
IOC2	MRP51	Q12072	Q02950
ISW1	NMD2	P38144	P38798
CDC48	ITT1	P25694	Q04638
IWR1	SET2	Q07532	P46995
KAP95	NUP1	Q06142	P20676
KAP95	RRP6	Q06142	Q12149
KRE33	RRP6	P53914	Q12149
KRE5	RPO41	P22023	P13433
KRR1	RRP6	P25586	Q12149
CDC48	KRS1	P25694	P15180
CDC48	KSS1	P25694	P14681
CDC48	LAC1	P25694	P28496
CDC48	LHS1	P25694	P36016
LRP1	RRP6	P38801	Q12149
LSM2	PRP4	P38203	P20053
LSM3	PRP4	P57743	P20053
CDC48	LSM4	P25694	P40070
LSM4	PRP4	P40070	P20053
LSM5	PRP4	P40089	P20053
LSM6	PRP4	Q06406	P20053
LSM7	PRP4	P53905	P20053
LSM8	PRP4	P47093	P20053
MAM33	MRP51	P40513	Q02950
CDC48	MBP1	P25694	P39678
CDC48	MCA1	P25694	Q08601
CDC48	MDH2	P25694	P22133
MDM36	NUM1	Q06820	Q00402
CDC48	MEK1	P25694	P24719
CDC48	MET30	P25694	P39014
DEF1	MET30	P35732	P39014
MET4	TOM70	P32389	P07213
CDC48	MGT1	P25694	P26188
MIS1	RBG1	P09440	P39729
MIS1	STM1	P09440	P39015
MLP1	NUP1	Q02455	P20676
MLP2	NUP1	P40457	P20676
CDC48	MMM1	P25694	P41800
MPP6	RRP6	P53725	Q12149
MRP10	MRP51	O75012	Q02950
MRP13	MRP51	P12686	Q02950
MRP17	MRP51	P28778	Q02950
MRP1	MRP51	P10662	Q02950
MRP21	MRP51	P38175	Q02950
MRP2	MRP51	P10663	Q02950
MRP4	MRP51	P32902	Q02950
BUD20	MRP51	Q08004	Q02950
MRP51	MRPS12	Q02950	P53732
MRP51	MRPS17	Q02950	Q03246
MRP51	MRPS18	Q02950	P42847
MRP51	MRPS35	Q02950	P53292
MRP51	MRPS5	Q02950	P33759
MRP51	MRPS8	Q02950	Q03799
MRP51	MRPS9	Q02950	P38120
MRP51	NA	Q02950	NA
MRP51	NAM9	Q02950	P27929
MRP51	RSM10	Q02950	Q03201
MRP51	RSM18	Q02950	P40033
MRP51	RSM19	Q02950	P53733
MRP51	RSM24	Q02950	Q03976
MRP51	RSM28	Q02950	Q03430
MRP51	RSM7	Q02950	P47150
MRP51	SEC63	Q02950	P14906
MRP51	SSB2	Q02950	P40150
MRP51	SSE1	Q02950	P32589
MRP51	VAR1	Q02950	P02381
MRP51	YDR124W	Q02950	Q04608
MRP51	MRPS16	Q02950	Q02608
MRP51	MRPS28	Q02950	P21771
CDC48	MSH3	P25694	P25336
CDC48	MSN5	P25694	P52918
CDC48	MTC5	P25694	Q03897
MTF1	RPO41	P14908	P13433
MTR3	RRP6	P48240	Q12149
MTR4	RRP6	P47047	Q12149
MYO2	RRP6	P19524	Q12149
NAM7	NMD2	P30771	P38798
NAM7	NMD4	P30771	Q12129
NA	RRP6	NA	Q12149
NA	SOD1	NA	P00445
NA	TUB4	NA	P53378
NBP1	RPO41	P52919	P13433
NDC1	NUP1	P32500	P20676
FMP45	NDC80	Q07651	P40460
HBT1	NDC80	Q07653	P40460
IRE1	NDC80	P32361	P40460
NDC80	NNF1	P40460	P47149
NDC80	NUF2	P40460	P33895
NDC80	PMA2	P40460	P19657
NDC80	SPC24	P40460	Q04477
NDC80	SPC25	P40460	P40014
NIC96	NUP1	P34077	P20676
NMD2	SAP4	P38798	P53036
NMD2	UPF3	P38798	P48412
NMD2	YGR266W	P38798	P53326
ADH1	NMD4	P00330	Q12129
ATP2	NMD4	P00830	Q12129
CCT6	NMD4	P39079	Q12129
CDC19	NMD4	P00549	Q12129
GCN20	NMD4	P43535	Q12129
GFA1	NMD4	P14742	Q12129
NMD4	OLA1	Q12129	P38219
NMD4	PAB1	Q12129	P04147
NMD4	PSA1	Q12129	P41940
NMD4	SSA2	Q12129	P10592
NMD4	SSB1	Q12129	P11484
NMD4	SSE1	Q12129	P32589
NMD4	TEF1	Q12129	P02994
NMD4	TUB1	Q12129	P09733
NMD4	TUB2	Q12129	P02557
NMD4	VMA2	Q12129	P16140
NOC4	RRP6	Q06512	Q12149
NOG1	RRP6	Q02892	Q12149
NOP13	RRP6	P53883	Q12149
NOP56	RRP6	Q12460	Q12149
NOP58	RRP6	Q12499	Q12149
NPL3	STM1	Q01560	P39015
CDC48	NPR2	P25694	P39923
NRD1	RRP6	P53617	Q12149
NSA2	STM1	P40078	P39015
NSP1	NUP1	P14907	P20676
NSR1	RRP6	P27476	Q12149
NTR2	PRP4	P36118	P20053
NUF2	SPC24	P33895	Q04477
NUF2	SPC25	P33895	P40014
ALR1	NUM1	Q08269	Q00402
ASK10	NUM1	P48361	Q00402
NUM1	OSH3	Q00402	P38713
NUM1	YBL086C	Q00402	P38177
NUM1	YCK2	Q00402	P23292
NUP1	NUP100	P20676	Q02629
NUP1	NUP116	P20676	Q02630
NUP1	NUP120	P20676	P35729
NUP1	NUP133	P20676	P36161
NUP1	NUP157	P20676	P40064
NUP1	NUP159	P20676	P40477
NUP1	NUP170	P20676	P38181
NUP1	NUP188	P20676	P52593
NUP1	NUP192	P20676	P47054
DYN2	NUP1	Q02647	P20676
NA	NUP1	NA	P20676
NUP1	NUP2	P20676	P32499
NUP1	NUP42	P20676	P49686
NUP1	NUP49	P20676	Q02199
NUP1	NUP53	P20676	Q03790
NUP1	NUP57	P20676	P48837
NUP1	NUP60	P20676	P39705
NUP1	NUP82	P20676	P40368
NUP1	NUP84	P20676	P52891
NUP1	NUP85	P20676	P46673
NUP1	POM152	P20676	P39685
NUP1	POM34	P20676	Q12445
NUP1	SEC13	P20676	Q04491
NUP1	SEH1	P20676	P53011
NUP1	SRP1	P20676	Q02821
NUP1	ULP1	P20676	Q02724
CDC48	NUP84	P25694	P52891
OCA1	SIW14	P50946	P53965
OCA2	SIW14	P53949	P53965
OCA4	SIW14	P25366	P53965
OCA5	SIW14	P38738	P53965
OCA6	SIW14	Q12454	P53965
CDC48	PAC2	P25694	P39937
PBP4	STM1	Q07362	P39015
MRP51	PDA1	Q02950	P16387
FUS3	PDC1	P16892	P06169
CDC48	PDR15	P25694	Q04182
NMD2	PEP4	P38798	P07267
MRP51	PET123	Q02950	P17558
CDC48	PET9	P25694	P18239
PGC1	RPO41	Q08959	P13433
PGI1	SOD1	P12709	P00445
PGK1	SOD1	P00560	P00445
MRP51	PHD1	Q02950	P36093
CDC48	PHO85	P25694	P17157
NMD2	PNG1	P38798	Q02890
POB3	SET2	Q04636	P46995
NMD2	POT1	P38798	P27796
CDC48	PPH3	P25694	P32345
CDC48	PRC1	P25694	P00729
CDC48	PRP11	P25694	Q07350
CDC48	PRP21	P25694	P32524
PRP28	PRP4	P23394	P20053
PRP31	PRP4	P49704	P20053
PRP38	PRP4	Q00723	P20053
PRP3	PRP4	Q03338	P20053
CDC48	PRP4	P25694	P20053
DIB1	PRP4	Q06819	P20053
NA	PRP4	NA	P20053
PRP4	PRP6	P20053	P19735
PRP4	PRP8	P20053	P33334
PRP4	SAD1	P20053	P43589
PRP4	SMB1	P20053	P40018
PRP4	SMD1	P20053	Q02260
PRP4	SMD2	P20053	Q06217
PRP4	SMD3	P20053	P43321
PRP4	SME1	P20053	Q12330
PRP4	SMX2	P20053	P40204
PRP4	SMX3	P20053	P54999
PRP4	SNU114	P20053	P36048
PRP4	SNU13	P20053	P39990
PRP4	SNU23	P20053	Q12368
PRP4	SNU66	P20053	Q12420
PRP4	SPP381	P20053	P38282
PRP4	TY1A-LR3;TY1A-GR2;TY1A-GR1;TY1A-JR1;TY1A-ML2	P20053	NA
CDC48	PRP6	P25694	P19735
DED1	PRT1	P06634	P06103
FUS3	PSA1	P16892	P41940
MRP51	PTC6	Q02950	P25646
CDC48	PTM1	P25694	P32857
MRP51	PUS4	Q02950	P48567
PWP2	RRP6	P25635	Q12149
MRP51	QRI5	Q02950	P32344
CDC48	RAD1	P25694	P06777
CDC48	RAD59	P25694	Q12223
CDC48	RAD6	P25694	P06104
CDC48	RAD7	P25694	P06779
CDC48	RAP1	P25694	P11938
CDC48	RBG1	P25694	P39729
GLN1	RBG1	P32288	P39729
PDR1	RBG1	P12383	P39729
RBG1	RPL25	P39729	P04456
